id_municipio,sigla_uf,ano,populacao
1507979,PA,2022,18804
1508001,PA,2017,61709
1508001,PA,2019,63447
1508001,PA,2022,76055
1508035,PA,2017,30108
1508035,PA,2019,30959
1508035,PA,2022,28015
1508050,PA,2017,18469
1508050,PA,2019,18989
1508050,PA,2022,18924
1508084,PA,2017,38508
1508084,PA,2019,39602
1508084,PA,2022,34812
1508100,PA,2017,110516
1508100,PA,2019,113659
1508100,PA,2022,90232
1508126,PA,2017,57525
1508126,PA,2019,59210
1508126,PA,2022,56562
1508159,PA,2017,44258
1508159,PA,2019,45476
1508159,PA,2022,48511
1508209,PA,2017,52216
1508209,PA,2019,53686
1508209,PA,2022,49096
1508308,PA,2017,59735
1508308,PA,2019,61403
1508308,PA,2022,58095
1508357,PA,2017,14719
1508357,PA,2019,15134
1508357,PA,2022,15104
1508407,PA,2017,43530
1508407,PA,2019,44751
1508407,PA,2022,56127
1600055,AP,2017,5111
1600055,AP,2019,5397
1600055,AP,2022,4744
1600105,AP,2017,8757
1600105,AP,2019,9109
1600105,AP,2022,7944
1600154,AP,2017,15125
1600154,AP,2019,16502
1600154,AP,2022,12365
1600204,AP,2017,10525
1600204,AP,2019,11117
1600204,AP,2022,10613
1600212,AP,2017,5637
1600212,AP,2019,5983
1600212,AP,2022,4388
1600238,AP,2017,7270
1600238,AP,2019,7780
1600238,AP,2022,6689
1600253,AP,2017,5172
1600253,AP,2019,5503
1600253,AP,2022,5477
1600279,AP,2017,47554
1600279,AP,2019,50410
1600279,AP,2022,35038
1600303,AP,2017,474706
1600303,AP,2019,503327
1600303,AP,2022,478448
1600402,AP,2017,20387
1600402,AP,2019,21632
1600402,AP,2022,22105
1600501,AP,2017,25514
1600501,AP,2019,27270
1600501,AP,2022,27778
1600535,AP,2017,20611
1600535,AP,2019,21971
1600535,AP,2022,17923
1600550,AP,2017,4779
1600550,AP,2019,5120
1600550,AP,2022,3803
1600600,AP,2017,115471
1600600,AP,2019,121364
1600600,AP,2022,114995
1600709,AP,2017,16112
1600709,AP,2019,17315
1600709,AP,2022,10511
1600808,AP,2017,14991
1600808,AP,2019,15931
1600808,AP,2022,11447
1700251,TO,2017,2571
1700251,TO,2019,2579
1700251,TO,2022,2463
1700301,TO,2017,6460
1700301,TO,2019,6733
1700301,TO,2022,4787
1700350,TO,2017,5527
1700350,TO,2019,5390
1700350,TO,2022,4932
1700400,TO,2017,7273
1700400,TO,2019,7055
1700400,TO,2022,9044
1700707,TO,2017,8516
1700707,TO,2019,8412
1700707,TO,2022,8821
1701002,TO,2017,9749
1701002,TO,2019,9549
1701002,TO,2022,10368
1701051,TO,2017,3423
1701051,TO,2019,3433
1701051,TO,2022,3062
1701101,TO,2017,4726
1701101,TO,2019,4795
1701101,TO,2022,4965
1701309,TO,2017,5865
1701309,TO,2019,5758
1701309,TO,2022,6914
1701903,TO,2017,7003
1701903,TO,2019,7086
1701903,TO,2022,5913
1702000,TO,2017,8692
1702000,TO,2019,8517
1702000,TO,2022,8666
1702109,TO,2017,175960
1702109,TO,2019,180470
1702109,TO,2022,186867
1702158,TO,2017,5645
1702158,TO,2019,5729
1702158,TO,2022,4316
1702208,TO,2017,35216
1702208,TO,2019,35761
1702208,TO,2022,31719
1702307,TO,2017,6756
1702307,TO,2019,6643
1702307,TO,2022,5443
1702406,TO,2017,10727
1702406,TO,2019,10567
1702406,TO,2022,10253
1702554,TO,2017,18089
1702554,TO,2019,18412
1702554,TO,2022,17471
1702703,TO,2017,3735
1702703,TO,2019,3757
1702703,TO,2022,3338
1702901,TO,2017,9776
1702901,TO,2019,9756
1702901,TO,2022,10267
1703008,TO,2017,10752
1703008,TO,2019,10664
1703008,TO,2022,8218
1703057,TO,2017,3500
1703057,TO,2019,3553
1703057,TO,2022,3548
1703073,TO,2017,4544
1703073,TO,2019,4591
1703073,TO,2022,4643
1703107,TO,2017,5643
1703107,TO,2019,5632
1703107,TO,2022,4875
1703206,TO,2017,4518
1703206,TO,2019,4459
1703206,TO,2022,4217
1703305,TO,2017,4700
1703305,TO,2019,4894
1703305,TO,2022,4087
1703602,TO,2017,2199
1703602,TO,2019,2201
1703602,TO,2022,1947
1703701,TO,2017,5499
1703701,TO,2019,5497
1703701,TO,2022,4753
1703800,TO,2017,11135
1703800,TO,2019,11348
1703800,TO,2022,10346
1703826,TO,2017,2276
1703826,TO,2019,2275
1703826,TO,2022,1964
1703842,TO,2017,9795
1703842,TO,2019,10116
1703842,TO,2022,8661
1703867,TO,2017,4296
1703867,TO,2019,4382
1703867,TO,2022,3555
1703883,TO,2017,2555
1703883,TO,2019,2580
1703883,TO,2022,2203
1703891,TO,2017,4055
1703891,TO,2019,4095
1703891,TO,2022,3343
1703909,TO,2017,5265
1703909,TO,2019,5369
1703909,TO,2022,4764
1704105,TO,2017,2866
1704105,TO,2019,2905
1704105,TO,2022,2133
1704600,TO,2017,1407
1704600,TO,2019,1406
1704600,TO,2022,1358
1705102,TO,2017,3364
1705102,TO,2019,3333
1705102,TO,2022,3118
1705508,TO,2017,34839
1705508,TO,2019,35424
1705508,TO,2022,33967
1705557,TO,2017,4874
1705557,TO,2019,4852
1705557,TO,2022,4751
1705607,TO,2017,4179
1705607,TO,2019,4105
1705607,TO,2022,3891
1706001,TO,2017,5529
1706001,TO,2019,5588
1706001,TO,2022,5254
1706100,TO,2017,7374
1706100,TO,2019,7289
1706100,TO,2022,6331
1706258,TO,2017,1708
1706258,TO,2019,1722
1706258,TO,2022,1411
1706506,TO,2017,5988
1706506,TO,2019,6097
1706506,TO,2022,6357
1707009,TO,2017,21738
1707009,TO,2019,22139
1707009,TO,2022,17658
