id_municipio,sigla_uf,ano,populacao
1505700,PA,2019,31082
1505809,PA,2017,60322
1505809,PA,2019,62043
1505908,PA,2017,39991
1505908,PA,2019,41135
1506005,PA,2017,29067
1506005,PA,2019,29866
1506104,PA,2017,10534
1506104,PA,2019,10825
1506112,PA,2017,13237
1506112,PA,2019,13608
1506138,PA,2017,82464
1506138,PA,2019,84787
1506161,PA,2017,17705
1506161,PA,2019,18193
1506187,PA,2017,50925
1506187,PA,2019,52357
1506195,PA,2017,49093
1506195,PA,2019,50510
1506203,PA,2017,39569
1506203,PA,2019,40675
1506302,PA,2017,23096
1506302,PA,2019,23752
1506351,PA,2017,20492
1506351,PA,2019,21079
1506401,PA,2017,9845
1506401,PA,2019,10128
1506500,PA,2017,68836
1506500,PA,2019,70801
1506559,PA,2017,19316
1506559,PA,2019,19848
1506583,PA,2017,20849
1506583,PA,2019,21449
1506609,PA,2017,24186
1506609,PA,2019,24861
1506708,PA,2017,70764
1506708,PA,2019,72817
1506807,PA,2017,296302
1506807,PA,2019,304589
1506906,PA,2017,6526
1506906,PA,2019,6709
1507003,PA,2017,30611
1507003,PA,2019,31482
1507102,PA,2017,17563
1507102,PA,2019,18050
1507151,PA,2017,24859
1507151,PA,2019,25557
1507201,PA,2017,31123
1507201,PA,2019,31989
1507300,PA,2017,124806
1507300,PA,2019,128481
1507409,PA,2017,15454
1507409,PA,2019,15882
1507458,PA,2017,24188
1507458,PA,2019,24847
1507466,PA,2017,5970
1507466,PA,2019,6139
1507474,PA,2017,22415
1507474,PA,2019,23045
1507508,PA,2017,13616
1507508,PA,2019,13996
1507607,PA,2017,57364
1507607,PA,2019,58986
1507706,PA,2017,25904
1507706,PA,2019,26640
1507755,PA,2017,5766
1507755,PA,2019,5930
1507805,PA,2017,11357
1507805,PA,2019,11658
1507904,PA,2017,24682
1507904,PA,2019,25374
1507953,PA,2017,103321
1507953,PA,2019,106339
1507961,PA,2017,11399
1507961,PA,2019,11720
1507979,PA,2017,18257
1507979,PA,2019,18769
1508001,PA,2017,61709
1508001,PA,2019,63447
1508035,PA,2017,30108
1508035,PA,2019,30959
1508050,PA,2017,18469
1508050,PA,2019,18989
1508084,PA,2017,38508
1508084,PA,2019,39602
1508100,PA,2017,110516
1508100,PA,2019,113659
1508126,PA,2017,57525
1508126,PA,2019,59210
1508159,PA,2017,44258
1508159,PA,2019,45476
1508209,PA,2017,52216
1508209,PA,2019,53686
1508308,PA,2017,59735
1508308,PA,2019,61403
1508357,PA,2017,14719
1508357,PA,2019,15134
1508407,PA,2017,43530
1508407,PA,2019,44751
1600055,AP,2017,5111
1600055,AP,2019,5397
1600105,AP,2017,8757
1600105,AP,2019,9109
1600154,AP,2017,15125
1600154,AP,2019,16502
1600204,AP,2017,10525
1600204,AP,2019,11117
1600212,AP,2017,5637
1600212,AP,2019,5983
1600238,AP,2017,7270
1600238,AP,2019,7780
1600253,AP,2017,5172
1600253,AP,2019,5503
1600279,AP,2017,47554
1600279,AP,2019,50410
1600303,AP,2017,474706
1600303,AP,2019,503327
1600402,AP,2017,20387
1600402,AP,2019,21632
1600501,AP,2017,25514
1600501,AP,2019,27270
1600535,AP,2017,20611
1600535,AP,2019,21971
1600550,AP,2017,4779
1600550,AP,2019,5120
1600600,AP,2017,115471
1600600,AP,2019,121364
1600709,AP,2017,16112
1600709,AP,2019,17315
1600808,AP,2017,14991
1600808,AP,2019,15931
1700251,TO,2017,2571
1700251,TO,2019,2579
1700301,TO,2017,6460
1700301,TO,2019,6733
1700350,TO,2017,5527
1700350,TO,2019,5390
1700400,TO,2017,7273
1700400,TO,2019,7055
1700707,TO,2017,8516
1700707,TO,2019,8412
1701002,TO,2017,9749
1701002,TO,2019,9549
1701051,TO,2017,3423
1701051,TO,2019,3433
1701101,TO,2017,4726
1701101,TO,2019,4795
1701309,TO,2017,5865
1701309,TO,2019,5758
1701903,TO,2017,7003
1701903,TO,2019,7086
1702000,TO,2017,8692
1702000,TO,2019,8517
1702109,TO,2017,175960
1702109,TO,2019,180470
1702158,TO,2017,5645
1702158,TO,2019,5729
1702208,TO,2017,35216
1702208,TO,2019,35761
1702307,TO,2017,6756
1702307,TO,2019,6643
1702406,TO,2017,10727
1702406,TO,2019,10567
1702554,TO,2017,18089
1702554,TO,2019,18412
1702703,TO,2017,3735
1702703,TO,2019,3757
1702901,TO,2017,9776
1702901,TO,2019,9756
1703008,TO,2017,10752
1703008,TO,2019,10664
1703057,TO,2017,3500
1703057,TO,2019,3553
1703073,TO,2017,4544
1703073,TO,2019,4591
1703107,TO,2017,5643
1703107,TO,2019,5632
1703206,TO,2017,4518
1703206,TO,2019,4459
1703305,TO,2017,4700
1703305,TO,2019,4894
1703602,TO,2017,2199
1703602,TO,2019,2201
1703701,TO,2017,5499
1703701,TO,2019,5497
1703800,TO,2017,11135
1703800,TO,2019,11348
1703826,TO,2017,2276
1703826,TO,2019,2275
1703842,TO,2017,9795
1703842,TO,2019,10116
1703867,TO,2017,4296
1703867,TO,2019,4382
1703883,TO,2017,2555
1703883,TO,2019,2580
1703891,TO,2017,4055
1703891,TO,2019,4095
1703909,TO,2017,5265
1703909,TO,2019,5369
1704105,TO,2017,2866
1704105,TO,2019,2905
1704600,TO,2017,1407
1704600,TO,2019,1406
