id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,DEA_RCOI,DEA_RCOP,DEA_RVOI,DEA_RVOP,DEA_RNDOI,DEA_RNCOI,DEA_scale_efficiency,DEA_returns_nature
3517604,SP,2019,17157,Guapiara,341221000,18124093,1558,6.1,5.4,0.0,1.2,19888.15,11632.92,0.3312789253380418,0.3312789253380419,0.4619414293255884,1.0,0.33127892533804176,0.46194142932558846,0.717144867958028,Crescente
3517703,SP,2019,21220,Guará,489557000,25190718,2166,6.5,4.2,0.0,0.3,23070.55,11630.06,0.3112588716925947,0.31125887169259314,0.4540367191325057,1.0,0.3112588716925947,0.45403671913250565,0.6855367827679091,Crescente
3517901,SP,2019,11188,Guaraci,353523000,15572566,1269,6.4,4.7,0.0,0.9,31598.41,12271.53,0.24360509740310535,0.24360509740310554,0.4264706892410816,1.0,0.24360509740310451,0.4264706892410815,0.5712118172449518,Crescente
3518404,SP,2019,121798,Guaratinguetá,6478996000,84513763,8015,6.6,5.2,0.4,0.4,53194.6,10544.45,0.17488809538342795,0.174888095383405,0.2525663644086137,0.9960000000000004,0.17488809538342348,0.2525663644086133,0.6924441256971408,Crescente
3518602,SP,2019,40105,Guariba,880607000,44470617,4702,6.7,5.5,0.2,0.3,21957.54,9457.81,0.35967941688637756,0.35967941688643884,0.4669021670105041,0.9980000000000957,0.3596794168863775,0.4669021670105042,0.7703528539808334,Crescente
3518701,SP,2019,320459,Guarujá,9097210000,373892008,20623,6.1,5.4,0.0,0.0,28388.06,18129.86,0.22705518534772093,0.22705518534772098,0.32632810496838005,1.0,0.2270551853477211,0.32632810496838005,0.6957880179205579,Decrescente
3518859,SP,2019,7656,Guatapará,232225000,11908000,998,5.7,4.7,0.0,1.4,30332.42,11931.86,0.2288305924362683,0.22883059243626827,0.4110224941578271,1.0,0.22883059243626844,0.411022494157827,0.5567349614408219,Crescente
3519055,SP,2019,14930,Holambra,1070417000,20877651,1505,7.2,5.2,0.0,0.0,71695.71,13872.19,0.14217766504617513,0.1421776650461854,0.49644118402159304,1.0,0.1421776650461828,0.49644118402159343,0.2863937755816629,Crescente
3519071,SP,2019,230851,Hortolândia,14738378000,201315999,13773,7.0,5.2,0.0,0.0,63843.68,14616.71,0.15027550074800258,0.15027550074801307,0.45908293609553513,1.0,0.15027550074800225,0.4590829360955352,0.32733845876756845,Crescente
3519402,SP,2019,12393,Ibirá,245287000,13109693,1221,7.3,6.3,0.0,0.0,19792.38,10736.85,0.4052326258835715,0.4052326258835626,0.6496270853582399,1.0,0.40523262588357184,0.6496270853582399,0.6237926881698661,Decrescente
3519600,SP,2019,60033,Ibitinga,1522377000,43488605,2200,6.5,5.5,0.0,0.5,25359.0,19767.55,0.24870582736400018,0.24870582736400051,0.3020729568449401,1.0,0.24870582736400018,0.3020729568449401,0.8233303303998367,Decrescente
3519808,SP,2019,8243,Icém,168878000,9502802,764,6.2,4.8,0.0,0.0,20487.44,12438.22,0.3221853919565094,0.3221853919565174,0.4827463254389632,1.0,0.32218539195650736,0.48274632543896334,0.6674010240544969,Crescente
3520103,SP,2019,30432,Igarapava,1257340000,27545863,2423,6.1,4.6,0.0,0.0,41316.38,11368.49,0.19488179797902672,0.19488179797902624,0.5204106136472705,1.0,0.19488179797902652,0.5204106136472703,0.3744769858039748,Crescente
3520400,SP,2019,34970,Ilhabela,14965490000,107389632,4361,6.3,5.2,0.0,0.1,427952.24,24625.0,0.025493971841778124,0.025493971841772982,0.210616098622165,1.0,0.025493971841777582,0.210616098622165,0.1210447444832461,Decrescente
