id_municipio,sigla_uf,ano,quantidade_matricula
2311504,CE,2017,2371.0
2307650,CE,2017,29072.0
2306108,CE,2017,3793.0
2306405,CE,2017,17639.0
2301208,CE,2017,3513.0
2310258,CE,2017,4106.0
2310001,CE,2017,1148.0
2302602,CE,2017,8304.0
2307635,CE,2017,2456.0
5200803,GO,2017,934.0
5222302,GO,2017,458.0
5217401,GO,2017,1120.0
5204201,GO,2017,66.0
5204409,GO,2017,1004.0
5205059,GO,2017,283.0
5202601,GO,2017,166.0
5200258,GO,2017,15060.0
5211800,GO,2017,2937.0
5203609,GO,2017,211.0
5208905,GO,2017,784.0
2901403,BA,2017,2141.0
2920601,BA,2017,4976.0
2927101,BA,2017,1499.0
2907608,BA,2017,2213.0
2900504,BA,2017,1299.0
2902104,BA,2017,9177.0
2929800,BA,2017,1586.0
2918357,BA,2017,3740.0
2909802,BA,2017,5762.0
2910107,BA,2017,1648.0
2911709,BA,2017,8982.0
2910008,BA,2017,1694.0
2916104,BA,2017,2846.0
2906824,BA,2017,2064.0
2930006,BA,2017,1229.0
2908101,BA,2017,3064.0
2923357,BA,2017,2841.0
2923407,BA,2017,2876.0
2707206,AL,2017,2599.0
2700706,AL,2017,2187.0
2706000,AL,2017,2004.0
2705804,AL,2017,1615.0
2701001,AL,2017,3396.0
2703908,AL,2017,883.0
2707107,AL,2017,4070.0
1302900,AM,2017,9969.0
1301407,AM,2017,4271.0
1302108,AM,2017,1520.0
1301951,AM,2017,1880.0
3204351,ES,2017,2415.0
3200102,ES,2017,2425.0
3203320,ES,2017,4890.0
3203304,ES,2017,1193.0
2305654,CE,2017,1682.0
2306009,CE,2017,1514.0
2310951,CE,2017,1371.0
2309300,CE,2017,3628.0
2311603,CE,2017,3861.0
2313955,CE,2017,2144.0
5220702,GO,2017,135.0
5217708,GO,2017,1237.0
5216452,GO,2017,286.0
5209101,GO,2017,2328.0
5202809,GO,2017,267.0
5215900,GO,2017,229.0
5207907,GO,2017,1260.0
5207501,GO,2017,324.0
2917706,BA,2017,3416.0
2905503,BA,2017,2020.0
2920007,BA,2017,1654.0
2933059,BA,2017,1818.0
2906600,BA,2017,1890.0
2932804,BA,2017,2400.0
2905909,BA,2017,4604.0
2918753,BA,2017,1694.0
2901700,BA,2017,1679.0
2916906,BA,2017,1176.0
2921401,BA,2017,2594.0
2913309,BA,2017,705.0
2921450,BA,2017,1420.0
2909604,BA,2017,3269.0
2930501,BA,2017,9142.0
2926400,BA,2017,4240.0
2924702,BA,2017,1246.0
1600303,AP,2017,24084.0
2709400,AL,2017,3708.0
2700805,AL,2017,746.0
2700201,AL,2017,2446.0
2706109,AL,2017,2222.0
1303304,AM,2017,2001.0
1304302,AM,2017,2272.0
2313005,CE,2017,1954.0
2305357,CE,2017,2934.0
2312205,CE,2017,5476.0
2304707,CE,2017,8308.0
2302909,CE,2017,2348.0
2310407,CE,2017,1687.0
2313609,CE,2017,4842.0
2310852,CE,2017,2870.0
2304400,CE,2017,150986.0
2306553,CE,2017,5858.0
5207253,GO,2017,635.0
5222203,GO,2017,796.0
5205406,GO,2017,584.0
5209200,GO,2017,968.0
5209705,GO,2017,1998.0
5212808,GO,2017,558.0
5212303,GO,2017,718.0
5203939,GO,2017,189.0
5220009,GO,2017,1028.0
5207535,GO,2017,590.0
5206206,GO,2017,6989.0
2932507,BA,2017,3157.0
2930600,BA,2017,1455.0
2928604,BA,2017,6259.0
2929602,BA,2017,2131.0
2916609,BA,2017,1259.0
2903508,BA,2017,2628.0
2928406,BA,2017,3746.0
2900108,BA,2017,853.0
2913408,BA,2017,1796.0
2925204,BA,2017,4101.0
2904902,BA,2017,3193.0
2902708,BA,2017,9957.0
2930758,BA,2017,2535.0
2924405,BA,2017,6546.0
2929206,BA,2017,5596.0
2920304,BA,2017,1067.0
2918704,BA,2017,462.0
2703759,AL,2017,1707.0
2702405,AL,2017,7369.0
1300060,AM,2017,1831.0
1300409,AM,2017,1789.0
1200427,AC,2017,1923.0
1200401,AC,2017,9199.0
3200607,ES,2017,10337.0
3203007,ES,2017,3209.0
3200409,ES,2017,3828.0
3202702,ES,2017,925.0
2304103,CE,2017,8384.0
