id_municipio,sigla_uf,ano,municipio_nome,populacao,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,flag_populacao_missing,flag_pib_missing,flag_gastos_missing,flag_matriculas_missing,flag_ideb_missing,flag_abandono_missing
1101203,RO,2019,Ministro Andreazza,9660,216434000,7979458,822,5.6,5.2,0.0,2.0,22405.18,9707.37,0,0,0,0,0,0
1101302,RO,2017,Mirante da Serra,12258,205082000,7109186,971,5.4,,0.6,1.7,16730.46,7321.51,0,0,0,0,1,0
1101302,RO,2019,Mirante da Serra,10947,216961000,7754425,857,5.1,,0.1,0.0,19819.22,9048.34,0,0,0,0,1,0
1101401,RO,2017,Monte Negro,16186,267804000,10851227,1455,4.7,,0.1,0.6,16545.41,7457.89,0,0,0,0,1,0
1101401,RO,2019,Monte Negro,15852,291812000,14226249,1387,4.7,,0.1,0.7,18408.53,10256.85,0,0,0,0,1,0
1101435,RO,2017,Nova União,7769,121147000,5351134,898,5.4,5.1,0.5,0.4,15593.64,5958.95,0,0,0,0,0,0
1101435,RO,2019,Nova União,6970,117350000,5775332,720,5.5,,0.0,0.0,16836.44,8021.29,0,0,0,0,1,0
1101450,RO,2017,Parecis,5904,99549000,4090793,519,5.1,4.2,0.0,4.0,16861.28,7882.07,0,0,0,0,0,0
1101450,RO,2019,Parecis,6074,107301000,5614090,490,4.1,4.3,0.0,2.6,17665.62,11457.33,0,0,0,0,0,0
1101468,RO,2017,Pimenteiras do Oeste,2410,99367000,3812115,272,6.3,,0.4,,41231.12,14015.13,0,0,0,0,1,1
1101468,RO,2019,Pimenteiras do Oeste,2169,116514000,5182074,238,5.0,,0.0,,53717.84,21773.42,0,0,0,0,1,1
1101476,RO,2017,Primavera de Rondônia,3411,62900000,3579045,362,5.1,,0.3,,18440.34,9886.86,0,0,0,0,1,1
1101476,RO,2019,Primavera de Rondônia,2856,61854000,5194922,292,5.6,,0.4,,21657.56,17790.83,0,0,0,0,1,1
1101484,RO,2017,São Felipe D'Oeste,5994,87273000,4764001,455,5.8,,0.0,0.0,14560.06,10470.33,0,0,0,0,1,0
1101484,RO,2019,São Felipe D'Oeste,5172,89254000,6813974,389,5.5,,0.0,,17257.15,17516.64,0,0,0,0,1,1
1101492,RO,2017,São Francisco do Guaporé,19694,335648000,14187372,2242,5.5,,0.4,0.6,17043.16,6328.0,0,0,0,0,1,0
1101492,RO,2019,São Francisco do Guaporé,20266,353339000,14773363,1951,5.4,,0.1,0.2,17435.06,7572.2,0,0,0,0,1,0
1101500,RO,2017,Seringueiras,12653,232724000,10883856,1380,5.4,,0.0,0.3,18392.79,7886.85,0,0,0,0,1,0
1101500,RO,2019,Seringueiras,11856,236261000,13724776,1012,4.8,,0.0,0.0,19927.55,13562.03,0,0,0,0,1,0
1101559,RO,2017,Teixeirópolis,4931,83325000,4634613,624,6.0,4.8,0.0,4.4,16898.2,7427.26,0,0,0,0,0,0
1101559,RO,2019,Teixeirópolis,4308,92344000,5324834,560,5.5,4.9,0.0,0.5,21435.47,9508.63,0,0,0,0,0,0
1101609,RO,2017,Theobroma,11350,185034000,9649276,1178,,,0.0,1.9,16302.56,8191.24,0,0,0,0,1,0
1101609,RO,2019,Theobroma,10444,191524000,10701888,981,,,0.7,2.5,18338.18,10909.16,0,0,0,0,1,0
1101708,RO,2017,Urupá,13106,200082000,10122091,1653,6.0,4.9,0.6,1.7,15266.44,6123.47,0,0,0,0,0,0
1101708,RO,2019,Urupá,11467,215416000,12540196,1367,5.7,4.2,0.0,0.4,18785.73,9173.52,0,0,0,0,0,0
1101757,RO,2017,Vale do Anari,11149,143303000,7860588,1210,5.6,,0.6,3.9,12853.44,6496.35,0,0,0,0,1,0
1101757,RO,2019,Vale do Anari,11204,166804000,8062417,1017,5.0,,0.5,3.7,14887.9,7927.65,0,0,0,0,1,0
1101807,RO,2017,Vale do Paraíso,8047,142330000,6310020,988,5.1,4.4,0.3,6.2,17687.34,6386.66,0,0,0,0,0,0
1101807,RO,2019,Vale do Paraíso,6825,146544000,7178876,797,4.7,5.0,0.3,3.0,21471.65,9007.37,0,0,0,0,0,0
1200013,AC,2017,Acrelândia,14366,229644000,11751580,1466,5.4,,1.5,5.0,15985.24,8016.08,0,0,0,0,1,0
1200013,AC,2019,Acrelândia,15256,253152000,12127058,1412,5.6,,0.6,2.7,16593.6,8588.57,0,0,0,0,1,0
1200054,AC,2017,Assis Brasil,6986,91743000,6037921,1089,4.9,,2.5,,13132.41,5544.46,0,0,0,0,1,1
1200054,AC,2019,Assis Brasil,7417,92705000,7496279,1104,5.0,,3.4,,12498.99,6790.11,0,0,0,0,1,1
1200104,AC,2017,Brasiléia,24765,388018000,15951223,2170,5.9,,0.9,,15668.0,7350.79,0,0,0,0,1,1
1200104,AC,2019,Brasiléia,26278,454009000,19096945,2119,6.3,,0.4,,17277.15,9012.24,0,0,0,0,1,1
1200138,AC,2017,Bujari,9664,158301000,6891376,1194,4.6,,2.9,9.0,16380.48,5771.67,0,0,0,0,1,0
1200138,AC,2019,Bujari,10266,159100000,8928039,1255,4.6,,1.0,9.7,15497.76,7113.98,0,0,0,0,1,0
1200179,AC,2017,Capixaba,11136,170990000,10009865,1604,4.2,4.0,2.5,3.2,15354.71,6240.56,0,0,0,0,0,0
1200179,AC,2019,Capixaba,11733,152806000,9899122,1375,4.6,,1.7,3.4,13023.61,7199.36,0,0,0,0,1,0
1200203,AC,2017,Cruzeiro do Sul,82622,1287867000,45740068,6503,4.9,4.2,0.7,6.5,15587.46,7033.69,0,0,0,0,0,0
1200203,AC,2019,Cruzeiro do Sul,88376,1439760000,57313850,6773,5.2,4.3,0.6,5.9,16291.3,8462.11,0,0,0,0,0,0
1200252,AC,2017,Epitaciolândia,17340,435952000,10800596,1504,5.8,,0.4,,25141.41,7181.25,0,0,0,0,1,1
1200252,AC,2019,Epitaciolândia,18411,422617000,13659273,1614,6.0,,0.2,,22954.59,8462.99,0,0,0,0,1,1
1200302,AC,2017,Feijó,32360,350880000,22532810,3302,5.5,,3.9,11.6,10843.02,6823.99,0,0,0,0,1,0
1200302,AC,2019,Feijó,34780,362490000,,2852,5.2,,3.1,11.9,10422.37,,0,0,1,0,1,0
1200328,AC,2017,Jordão,7858,78628000,12164453,2188,4.2,4.4,1.8,3.1,10006.11,5559.62,0,0,0,0,0,0
