id_municipio,sigla_uf,ano,ideb_iniciais,ideb_finais
4313441,RS,2017,,
4214706,SC,2017,,
3138104,MG,2017,5.8,
2505279,PB,2017,4.1,
1400472,RR,2017,4.5,
4314175,RS,2017,5.2,
5204409,GO,2017,6.1,
3131802,MG,2017,5.8,
5108501,MT,2017,5.9,
5212501,GO,2017,5.7,
1301803,AM,2017,3.6,
4104303,PR,2017,6.3,
4310876,RS,2017,4.9,
3543907,SP,2017,6.8,
4206207,SC,2017,5.7,
4306452,RS,2017,,
3146008,MG,2017,,
3154200,MG,2017,6.3,
5214903,GO,2017,5.2,
3521200,SP,2017,6.3,
2600054,PE,2017,4.5,
3170305,MG,2017,5.5,
2401909,RN,2017,4.1,
3105103,MG,2017,7.4,
3114402,MG,2017,6.8,
4304002,RS,2017,6.4,
2412302,RN,2017,3.7,
5105903,MT,2017,5.1,
4201802,SC,2017,,
4320602,RS,2017,,
5207402,GO,2017,6.7,
3134707,MG,2017,5.5,
3164407,MG,2017,6.6,
3117801,MG,2017,7.1,
5211404,GO,2017,7.8,
4209805,SC,2017,5.9,
1200302,AC,2017,5.5,
4323507,RS,2017,,
3170909,MG,2017,5.8,
5203500,GO,2017,6.3,
4311643,RS,2017,,
2501153,PB,2017,,3.7
2200954,PI,2017,,3.7
4320453,RS,2017,,
4321477,RS,2017,,
3107703,MG,2017,,
4203154,SC,2017,4.8,
4206504,SC,2017,6.6,
1717909,TO,2017,4.6,
4113700,PR,2017,6.8,
5202155,GO,2017,5.7,
3112307,MG,2017,,
3138682,MG,2017,,
4308052,RS,2017,,
5204607,GO,2017,6.7,
3112901,MG,2017,6.2,
3169059,MG,2017,6.8,
4213708,SC,2017,5.8,
1720002,TO,2017,3.8,
5209291,GO,2017,5.5,
4319737,RS,2017,4.9,
2804102,SE,2017,4.2,
5001904,MS,2017,5.9,
1200344,AC,2017,5.0,
5220504,GO,2017,5.5,
2801504,SE,2017,4.0,
3516408,SP,2017,5.8,
5107008,MT,2017,6.2,
4301925,RS,2017,,
4315453,RS,2017,,
4308250,RS,2017,,
4214508,SC,2017,,
4319125,RS,2017,,
4314753,RS,2017,,
3301405,RJ,2017,,4.1
3138609,MG,2017,6.0,
1100700,RO,2017,5.3,
2908408,BA,2017,4.3,
3142106,MG,2017,6.7,
3501202,SP,2017,6.2,
1718881,TO,2017,4.6,
1302207,AM,2017,2.9,
3528700,SP,2017,6.5,
3139201,MG,2017,5.0,
5205307,GO,2017,4.4,
3117836,MG,2017,,
4322343,RS,2017,,
4305835,RS,2017,,6.4
3123304,MG,2017,,
3168051,MG,2019,6.1,
1722081,TO,2019,4.7,
2400109,RN,2019,6.8,
1507961,PA,2019,4.4,
2510006,PB,2019,4.8,
3204005,ES,2019,5.7,
2406205,RN,2019,3.5,
1600303,AP,2019,5.0,
2914307,BA,2019,4.4,
4200903,SC,2019,,
5106109,MT,2019,,
1300201,AM,2019,4.3,
3125606,MG,2019,5.7,
1718204,TO,2019,5.7,
2910206,BA,2019,5.1,
3145356,MG,2019,5.4,
2912103,BA,2019,4.2,
5003751,MS,2019,,
5005681,MS,2019,4.5,
2505402,PB,2019,,
3166600,MG,2019,,
4314027,RS,2019,,4.9
3540408,SP,2019,,
3203403,ES,2019,,
2513000,PB,2019,,4.2
4311601,RS,2019,,
4200309,SC,2019,,
3101201,MG,2019,6.9,
5205521,GO,2019,5.3,
4315156,RS,2019,,
4108403,PR,2019,6.7,
2512408,PB,2019,4.7,
1400027,RR,2019,,
4319356,RS,2019,6.9,
2806107,SE,2019,3.7,
1200450,AC,2019,5.8,
1702406,TO,2019,4.8,
5108501,MT,2019,5.9,
4214607,SC,2019,6.6,
5201306,GO,2019,7.5,
1200609,AC,2019,4.7,
4209706,SC,2019,5.3,
2806206,SE,2019,3.9,
5106000,MT,2019,6.1,
5108303,MT,2019,6.0,
5207907,GO,2019,4.7,
4318606,RS,2019,,
1100403,RO,2019,4.5,
2510600,PB,2019,5.1,
1200401,AC,2019,6.7,
3154804,MG,2019,6.1,
2112274,MA,2019,,4.1
1303809,AM,2019,,
1302207,AM,2019,2.7,
2915353,BA,2019,4.0,
3128501,MG,2019,6.0,
3166105,MG,2019,4.4,
3508207,SP,2019,,
3158201,MG,2019,5.6,
3144003,MG,2019,6.7,
2502706,PB,2019,,
3100302,MG,2019,,
4306072,RS,2019,,
3116308,MG,2019,,
5003504,MS,2019,,
2102408,MA,2019,,3.0
2802700,SE,2019,3.9,
4316733,RS,2019,6.7,
5106257,MT,2019,6.1,
2412708,RN,2019,,
1720309,TO,2019,3.9,
2412906,RN,2019,4.2,
4315800,RS,2019,,
3507456,SP,2019,5.5,
3140902,MG,2019,4.9,
5002100,MS,2019,4.6,
4310579,RS,2019,,
1100809,RO,2019,4.7,
4301206,RS,2019,,
1711100,TO,2019,4.7,
5204854,GO,2019,5.4,
5108907,MT,2019,6.0,
1702158,TO,2019,,
4310900,RS,2019,,5.2
3142908,MG,2019,,
3143005,MG,2019,6.7,
3104700,MG,2019,5.7,
3117009,MG,2019,5.6,
1100122,RO,2019,6.3,
1716307,TO,2019,4.5,
3140605,MG,2019,5.3,
5203401,GO,2019,6.6,
5204102,GO,2019,6.3,
1707207,TO,2019,5.1,
4314605,RS,2019,,
1301951,AM,2019,2.9,
3126604,MG,2019,5.3,
3532306,SP,2019,6.4,
1709302,TO,2019,5.7,
2204709,PI,2019,5.8,
5007554,MS,2019,5.1,
4303608,RS,2019,5.0,
3165404,MG,2019,6.7,
4322343,RS,2019,,
4212254,SC,2019,,3.5
4313656,RS,2019,,
4319505,RS,2019,,
1600550,AP,2019,,
4307302,RS,2019,,
1505551,PA,2019,4.0,
4210050,SC,2019,,
4203402,SC,2019,5.3,
2913309,BA,2019,4.9,
1101435,RO,2019,5.5,
2412203,RN,2019,4.3,
1200807,AC,2019,,
5209150,GO,2019,5.9,
3124906,MG,2019,5.8,
4308854,RS,2019,6.3,
1200344,AC,2019,5.3,
4305835,RS,2019,,
4321626,RS,2019,6.8,
3157336,MG,2019,6.1,
1400506,RR,2019,4.9,
3113701,MG,2019,5.2,
4314464,RS,2019,5.8,
2919926,BA,2019,5.3,
1703842,TO,2019,4.3,
4311254,RS,2019,,
4305173,RS,2019,,
4309951,RS,2019,,4.0
3118809,MG,2019,,
4210308,SC,2019,6.4,
2209401,PI,2019,4.7,
3121100,MG,2019,7.5,
5100201,MT,2019,6.2,
3134004,MG,2019,6.1,
5106505,MT,2019,4.2,
2930600,BA,2019,5.4,
2615102,PE,2019,5.4,
3139201,MG,2019,4.5,
1300300,AM,2019,4.5,
3146206,MG,2019,,
3152170,MG,2019,5.4,
2606309,PE,2019,5.1,
3163003,MG,2019,,
5003454,MS,2019,4.7,
5213103,GO,2019,6.7,
1720002,TO,2019,5.1,
5207535,GO,2019,5.3,
3120409,MG,2019,5.9,
4307203,RS,2019,,
4202800,SC,2019,5.9,
5005004,MS,2019,5.0,
3160454,MG,2019,,4.2
3100807,MG,2019,,4.6
4308250,RS,2019,,
3553609,SP,2019,,5.7
2211704,PI,2019,,4.2
3150604,MG,2019,,
3118403,MG,2019,6.2,
5001904,MS,2019,6.4,
2501302,PB,2019,4.2,
2805406,SE,2019,3.7,
3159902,MG,2019,6.2,
2411502,RN,2019,,
4203154,SC,2019,5.1,
4220000,SC,2019,5.8,
5104542,MT,2019,6.8,
1100700,RO,2019,5.3,
2931202,BA,2019,4.3,
3170602,MG,2019,,
1100189,RO,2019,5.9,
4313102,RS,2019,,4.4
5106174,MT,2019,,
2404101,RN,2019,,3.1
4302055,RS,2019,,
5102694,MT,2019,,
5220009,GO,2019,5.2,
4320206,RS,2019,,
5000708,MS,2019,4.1,
5103858,MT,2019,5.8,
5101407,MT,2019,5.5,
2204006,PI,2019,5.1,
1300409,AM,2019,4.9,
2511905,PB,2019,4.5,
3557006,SP,2019,6.7,
5108006,MT,2019,6.0,
5105150,MT,2019,5.5,
5215405,GO,2019,6.5,
3114402,MG,2019,6.8,
5217104,GO,2019,6.1,
4305603,RS,2019,,
1701903,TO,2019,4.7,
4205605,SC,2019,6.0,
5006275,MS,2019,5.0,
