id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1502905,PA,2019,40066,Curuçá,289789000,28522539,4921,4.2,4.4,0.7,1.2,7232.79,5796.09
1502939,PA,2017,58071,Dom Eliseu,679845000,43516581,7031,5.4,3.8,1.0,8.9,11707.13,6189.24
1502939,PA,2019,59719,Dom Eliseu,660970000,22402509,6409,5.6,4.5,0.7,4.8,11068.0,3495.48
1502954,PA,2017,32892,Eldorado do Carajás,359402000,34320854,6187,4.4,3.2,3.3,9.6,10926.73,5547.25
1502954,PA,2019,33808,Eldorado do Carajás,429733000,35002416,5769,4.6,3.8,2.8,6.6,12710.99,6067.33
1503044,PA,2017,19746,Floresta do Araguaia,249651000,20097668,3500,4.3,3.5,2.2,7.9,12643.12,5742.19
1503044,PA,2019,20304,Floresta do Araguaia,272593000,22856325,3390,4.5,3.7,1.0,5.4,13425.58,6742.28
1503077,PA,2017,25363,Garrafão do Norte,242307000,32076350,6045,3.7,3.7,2.6,6.5,9553.56,5306.26
1503077,PA,2019,26066,Garrafão do Norte,220325000,36262551,5534,4.4,4.1,2.2,5.2,8452.58,6552.68
1503093,PA,2017,39352,Goianésia do Pará,373555000,39021359,5924,4.5,3.2,3.0,8.0,9492.66,6587.0
1503093,PA,2019,40475,Goianésia do Pará,346998000,37866753,5352,4.5,3.4,2.2,7.0,8573.14,7075.25
1503101,PA,2017,32458,Gurupá,230596000,51947799,8891,3.3,2.9,6.6,8.8,7104.44,5842.74
1503101,PA,2019,33376,Gurupá,280891000,10020982,10659,3.5,3.0,8.2,12.7,8415.96,940.14
1503200,PA,2017,37753,Igarapé-Açu,304516000,20494819,2909,3.8,3.1,4.0,8.6,8066.01,7045.31
1503200,PA,2019,38807,Igarapé-Açu,346236000,22528068,2754,4.3,3.4,2.6,5.7,8922.0,8180.13
1503309,PA,2017,60994,Igarapé-Miri,376753000,8431753,13740,3.8,3.5,3.0,6.8,6176.89,613.66
1503309,PA,2019,62698,Igarapé-Miri,519353000,79029095,13428,4.0,3.7,2.2,5.2,8283.41,5885.4
1503457,PA,2017,62237,Ipixuna do Pará,541030000,38901203,7032,4.5,3.8,2.8,6.0,8693.06,5532.03
1503457,PA,2019,64053,Ipixuna do Pará,576413000,50847056,6949,4.5,4.3,1.7,4.4,8999.0,7317.18
1503606,PA,2017,98523,Itaituba,1770962000,101427954,17619,4.8,4.1,3.1,7.0,17975.11,5756.74
1503606,PA,2019,101247,Itaituba,2041945000,117969779,17985,4.6,4.2,2.2,6.1,20167.96,6559.34
1503705,PA,2017,51835,Itupiranga,560443000,48165300,9173,3.9,3.3,2.8,7.3,10812.06,5250.77
1503705,PA,2019,53269,Itupiranga,580326000,52407139,9004,4.2,3.7,1.9,6.8,10894.25,5820.43
1503754,PA,2017,8059,Jacareacanga,327691000,29598016,4899,3.8,3.2,4.8,7.5,40661.5,6041.64
1503754,PA,2019,8239,Jacareacanga,524934000,36611258,5072,3.5,3.3,2.1,6.5,63713.31,7218.31
1503804,PA,2017,57526,Jacundá,489217000,34561075,7017,4.3,3.4,1.8,6.1,8504.28,4925.33
1503804,PA,2019,59155,Jacundá,488417000,42027033,6468,4.5,3.3,1.0,4.8,8256.56,6497.69
1503903,PA,2017,56325,Juruti,1046267000,70698145,10458,4.6,4.4,0.5,2.6,18575.53,6760.2
1503903,PA,2019,57943,Juruti,1204784000,74286817,10630,5.0,4.8,0.5,2.4,20792.57,6988.41
