index,year,population,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,rank_vrs,pct_var_vrs,pct_var_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,is_complete_grouped
spending_per_student,2017,0.1152180768663099,0.14305353823746406,0.1306780316131133,0.023663014710139093,0.4514603897383861,0.4196898027455421,-0.3468652012047319,-0.3819531010874277,0.5558817153923574,1.0,-0.4612329655102701,-0.6298987285536346,-0.6298988220630635,-0.6015774267694144,0.3441297847505978,-0.6306348312160357,-0.5999429585920636,-0.4380325085975351,0.598778031886212,,,-0.6015774267694141,-0.4380325085975345,-0.5822273484950727,-0.6267123974491783,
educ_pct_gdp,2017,-0.1358408313667813,-0.11320723200470706,-0.10863152306026105,-0.12680783193699277,-0.4605480208687422,-0.40623524169284664,0.31425543137523015,0.3473334509563342,-0.5413681010868843,-0.4612329655102701,1.0,0.8237917734852361,0.8237921321619741,0.6685224779558651,-0.31352937929604774,0.8247300723951662,0.6663701222991419,0.6684764501788018,-0.6842708759080209,,,0.6685224779558652,0.668476450178802,0.6193036978334387,0.6317183921838226,
is_complete_grouped,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA_crs_input,2017,-0.1254186176138113,-0.12465600495804567,-0.11816899938187404,-0.11468087794455134,-0.3251255849863962,-0.3012778325973302,0.23144077752640474,0.2894169619066292,-0.6698282107048067,-0.6298987285536346,0.8237917734852361,1.0,0.9999999996263335,0.890852938476872,-0.2218353314723446,0.9999334130393784,0.8895875969997431,0.7088728484298743,-0.8929052962714221,,,0.8908529384768713,0.7088728484298749,0.7158925956425288,0.6620379663421101,
DEA_crs_output,2017,-0.1254186681382243,-0.12465602596142077,-0.11816904181366744,-0.11468096880487813,-0.32512598898614825,-0.30127793272441766,0.23144060543361739,0.2894173688478741,-0.6698282899856907,-0.6298988220630635,0.8237921321619741,0.9999999996263335,1.0,0.8908528930757127,-0.2218351722835986,0.999933411552735,0.8895875536186093,0.7088729425402904,-0.8929052940766325,,,0.8908528930757128,0.7088729425402902,0.7158925767214185,0.6620381364492507,
DEA_vrs_input,2017,-0.1324061735623147,-0.12774288904028439,-0.12460408092363287,-0.1175999216777516,-0.07892773723363909,-0.030780614778091773,-0.0007449357260253268,0.033188425902515736,-0.5561615117126314,-0.6015774267694144,0.6685224779558651,0.890852938476872,0.8908528930757127,1.0,0.017127198333733096,0.8899044400821221,0.9999190337539079,0.34725313724125134,-0.9897657971925282,,,1.0000000000000002,0.3472531372412516,0.6407058172586634,0.46010106010280316,
DEA_vrs_output,2017,0.016114010783481552,0.029654482359436574,0.02002160748028482,-0.014426645159233215,0.6521022712803868,0.5995591707314848,-0.9873656428449659,-0.7482294680834999,0.24712975162400255,0.3441297847505978,-0.31352937929604774,-0.2218353314723446,-0.2218351722835986,0.017127198333733096,1.0,-0.22985289370387488,0.026277659284515996,-0.5520431443224347,0.004555506777631991,,,0.017127198333733575,-0.5520431443224345,-0.22325389150097466,-0.5368190881294569,
DEA_irs_input,2017,-0.12550098187398276,-0.12473165744997441,-0.11820552563751534,-0.11462752994311771,-0.3282670929185247,-0.3042575411795702,0.2392529358208606,0.2951894242787389,-0.6702696423559219,-0.6306348312160357,0.8247300723951662,0.9999334130393784,0.999933411552735,0.8899044400821221,-0.22985289370387488,1.0,0.8884930739560825,0.7104333471653685,-0.8920588703213189,,,0.8899044400821218,0.7104333471653689,0.7156996270201622,0.6637042870793235,
DEA_drs_input,2017,-0.13215551415530552,-0.12749915981347687,-0.12441282352731212,-0.11751040404386737,-0.0749793904155422,-0.027031492269835897,-0.00968062715354978,0.026402586212224962,-0.5547676133553634,-0.5999429585920636,0.6663701222991419,0.8895875969997431,0.8895875536186093,0.9999190337539079,0.026277659284515996,0.8884930739560825,1.0,0.3444958377928453,-0.9895661252444078,,,0.9999190337539076,0.34449583779284537,0.639960063560318,0.4573452230277096,
DEA_scale_efficiency,2017,-0.05936545304852718,-0.07782802512543496,-0.0636522633002658,-0.06533692202257746,-0.5851117735375306,-0.6038592545051921,0.5442459941574387,0.600711098398409,-0.6732047032364401,-0.4380325085975351,0.6684764501788018,0.7088728484298743,0.7088729425402904,0.34725313724125134,-0.5520431443224347,0.7104333471653685,0.3444958377928453,1.0,-0.363190423664635,,,0.3472531372412511,1.0000000000000002,0.5110712794760655,0.711683519531503,
